#time redshift x  y z
4.4781 1.4436 29028.2823 28608.4126 29631.9087 
4.4835 1.4415 29053.0650 28632.3910 29657.3645 
4.4888 1.4394 29077.8997 28656.4009 29682.8321 
4.4942 1.4374 29102.7703 28680.4154 29708.3174 
4.4996 1.4353 29127.6841 28704.4558 29733.8122 
4.5050 1.4333 29152.5702 28728.4520 29759.2909 
4.5104 1.4312 29177.4899 28752.4628 29784.7563 
4.5157 1.4292 29202.4014 28776.4199 29810.1612 
4.5211 1.4272 29228.5102 28800.4207 29836.0968 
4.5265 1.4252 29253.3543 28824.4337 29861.5520 
4.5319 1.4231 29278.3830 28848.4785 29887.0664 
4.5373 1.4211 29303.4974 28872.5293 29912.6084 
4.5426 1.4191 29328.6418 28896.5892 29938.1744 
4.5480 1.4171 29353.8267 28920.6194 29963.7401 
4.5534 1.4151 29378.9948 28944.5675 29989.2624 
4.5588 1.4131 29405.2400 28968.7909 30015.2180 
4.5642 1.4111 29430.4687 28992.7461 30040.7980 
4.5695 1.4091 29455.9586 29016.6484 30066.4853 
4.5749 1.4071 29481.6016 29040.4295 30092.2413 
4.5803 1.4051 29507.2309 29064.1587 30118.0230 
4.5857 1.4031 29532.9252 29087.6199 30143.8211 
4.5911 1.4011 29559.4171 29110.9659 30170.2000 
4.5964 1.3991 29584.8857 29134.0620 30195.9564 
4.6018 1.3971 29610.4194 29156.9760 30221.7512 
4.6072 1.3952 29635.8936 29179.7586 30247.5277 
4.6126 1.3932 29661.2654 29202.4610 30273.2588 
4.6180 1.3912 29686.5307 29225.1195 30298.9522 
4.6234 1.3893 29711.6769 29247.7513 30324.5970 
4.6287 1.3873 29736.7138 29270.3261 30350.1926 
4.6341 1.3854 29761.6623 29292.8280 30375.7409 
4.6395 1.3834 29786.4998 29315.2033 30401.2299 
4.6449 1.3815 29811.3085 29337.6607 30426.7190 
4.6503 1.3795 29835.7839 29359.9272 30452.0285 
4.6556 1.3776 29861.9864 29384.0131 30478.3344 
4.6610 1.3756 29886.7514 29406.4959 30503.8023 
4.6664 1.3737 29911.4340 29429.0580 30529.2362 
4.6718 1.3718 29936.0781 29451.6711 30554.6657 
4.6772 1.3699 29960.7026 29474.2364 30580.0893 
4.6825 1.3679 29985.2896 29496.8505 30605.5082 
4.6879 1.3660 30009.8470 29519.4330 30630.9040 
4.6933 1.3641 30034.3171 29542.0139 30656.2554 
4.6987 1.3622 30058.8077 29564.5684 30681.6262 
4.7041 1.3603 30083.2408 29587.1742 30706.9484 
4.7094 1.3584 30107.6633 29609.6872 30732.2831 
4.7148 1.3565 30132.0187 29632.3622 30757.5606 
4.7202 1.3546 30156.3790 29654.9369 30782.8380 
4.7256 1.3527 30180.6193 29677.5201 30808.0637 
4.7310 1.3508 30204.9485 29700.1326 30833.3243 
4.7363 1.3489 30229.1946 29722.7343 30858.5426 
4.7417 1.3470 30253.4583 29745.3435 30883.7553 
4.7471 1.3451 30277.6780 29767.9398 30908.9693 
4.7525 1.3433 30301.8783 29790.5604 30934.1536 
4.7579 1.3414 30326.0860 29813.1552 30959.3339 
4.7632 1.3395 30350.1597 29835.8513 30984.4710 
4.7686 1.3376 30374.3087 29858.4634 31009.6305 
4.7740 1.3358 30398.4774 29881.0705 31034.7955 
4.7794 1.3339 30422.5542 29903.7444 31059.9120 
4.7848 1.3321 30446.4987 29926.5137 31084.9680 
4.7902 1.3302 30470.5343 29949.1956 31110.0603 
4.7955 1.3284 30494.5432 29971.9161 31135.1393 
4.8009 1.3265 30518.5511 29994.6015 31160.2252 
4.8063 1.3247 30542.5236 30017.3242 31185.2606 
4.8117 1.3228 30566.4416 30040.0780 31210.2930 
4.8171 1.3210 30590.4579 30062.6513 31235.3703 
4.8224 1.3192 30614.4506 30085.3340 31260.4388 
4.8278 1.3173 30638.3907 30108.0410 31285.4656 
4.8332 1.3155 30662.3323 30130.7466 31310.5060 
4.8386 1.3137 30686.1619 30153.4891 31335.4932 
4.8440 1.3119 30710.0301 30176.1740 31360.4984 
4.8493 1.3100 30733.9020 30198.8290 31385.4938 
4.8547 1.3082 30757.7320 30221.5256 31410.4618 
4.8601 1.3064 30781.6186 30244.1810 31435.4475 
4.8655 1.3046 30805.4664 30266.9058 31460.4042 
4.8709 1.3028 30829.3172 30289.5697 31485.3664 
4.8762 1.3010 30853.1117 30312.2550 31510.3241 
4.8816 1.2992 30876.7538 30335.1390 31535.1935 
4.8870 1.2974 30900.5592 30357.8409 31560.1338 
4.8924 1.2956 30924.2568 30380.6596 31585.0034 
4.8978 1.2938 30947.9549 30403.4363 31609.8952 
4.9031 1.2920 30971.5958 30426.2287 31634.7765 
4.9085 1.2903 30995.3137 30449.0053 31659.6821 
4.9139 1.2885 31018.8001 30472.0652 31684.4511 
4.9193 1.2867 31042.4055 30494.9490 31709.3034 
4.9247 1.2849 31066.0158 30517.8203 31734.1314 
4.9300 1.2832 31089.6996 30540.6159 31758.9907 
4.9354 1.2814 31113.2659 30563.5875 31783.7819 
4.9408 1.2796 31136.9063 30586.5527 31808.5863 
4.9462 1.2779 31160.5368 30609.3997 31833.4172 
4.9516 1.2761 31184.1185 30632.4228 31858.1982 
4.9569 1.2743 31207.6469 30655.5995 31882.9027 
4.9623 1.2726 31231.3134 30678.6223 31907.6847 
4.9677 1.2708 31254.8827 30702.1654 31932.3103 
4.9731 1.2691 31272.8853 30725.8818 31955.1173 
4.9785 1.2674 31297.1236 30748.2373 31980.2419 
4.9839 1.2656 31320.9320 30770.9094 32005.1739 
4.9892 1.2639 31344.7623 30793.4794 32030.1195 
4.9946 1.2621 31368.4441 30816.1874 32054.9974 
5.0000 1.2604 31392.0186 30839.0291 32079.8117 
5.0054 1.2587 31415.8101 30861.3629 32104.7562 
